href,model_id,full_name,year
/showmodel?model=249408,249408,A computational model of action selection in the basal ganglia (Suryanarayana et al 2019),2019
/showmodel?model=257940,257940,A computational model of oxytocin modulation of olfactory recognition memory (Linster & Kelsch 2019),2019
/showmodel?model=262045,262045,A computational model of single-neuron perturbations (Sadeh and Clopath 2020),2020
/showmodel?model=258949,258949,A computational model of systems memory consolidation and reconsolidation (Helfer & Shultz 2019),2019
/showmodel?model=124111,124111,A contracting model of the basal ganglia (Girard et al. 2008),2008
/showmodel?model=155565,155565,A cortical sheet mesoscopic model for investigating focal seizure onset dynamics (Wang  et al. 2014),2014
/showmodel?model=257028,257028,A cortico-cerebello-thalamo-cortical loop model under essential tremor (Zhang & Santaniello 2019),2019
/showmodel?model=206227,206227,A dendritic disinhibitory circuit mechanism for pathway-specific gating (Yang et al. 2016),2016
/showmodel?model=229585,229585,A detailed Purkinje cell model (Masoli et al 2015),2015
/showmodel?model=147487,147487,A detailed and fast model of extracellular recordings (Camunas-Mesa & Qurioga 2013),2013
/showmodel?model=189160,189160,A detailed data-driven network model of prefrontal cortex (Hass et al 2016),2016
/showmodel?model=105506,105506,A dual-Ca2+-sensor model for neurotransmitter release in a central synapse (Sun et al. 2007),2007
/showmodel?model=55756,55756,"A dynamic model of the canine ventricular myocyte (Hund, Rudy 2004)",2004
/showmodel?model=64255,64255,A dynamical model of the basal ganglia (Leblois et al 2006),2006
/showmodel?model=145836,145836,A fast model of voltage-dependent NMDA Receptors (Moradi et al. 2013),2013
/showmodel?model=120137,120137,A finite volume method for stochastic integrate-and-fire models (Marpeau et al. 2009),2009
/showmodel?model=267499,267499,"A focal seizure model with ion concentration changes (Gentiletti et al., 2022)",2022
/showmodel?model=141192,141192,A four compartmental model for ABPD complex in crustacean pyloric network (Maran et al. 2011),2011
/showmodel?model=244261,244261,A full-scale cortical microcircuit spiking network model (Shimoura et al 2018),2018
/showmodel?model=262452,262452,A gap junction network of Amacrine Cells controls Nitric Oxide release (Jacoby et al 2018),2018
/showmodel?model=266836,266836,A general model of hippocampal and dorsal striatal learning and decision making (Geerts et al 2020),2020
/showmodel?model=146024,146024,A generic MAPK cascade model for random parameter sampling analysis (Mai and Liu 2013),2013
/showmodel?model=126098,126098,A kinetic model of dopamine- and calcium-dependent striatal synaptic plasticity (Nakano et al. 2010),2010
/showmodel?model=120184,120184,A kinetic model unifying presynaptic short-term facilitation and depression (Lee et al. 2009),2009
/showmodel?model=147103,147103,A large-scale model of the functioning brain (spaun) (Eliasmith et al. 2012),2012
/showmodel?model=232956,232956,"A mathematical model of a neurovascular unit (Dormanns et al 2015, 2016) (Farrs & David 2011)",2015
/showmodel?model=189344,189344,A mathematical model of evoked calcium dynamics in astrocytes (Handy et al 2017),2017
/showmodel?model=110022,110022,A microcircuit model of the frontal eye fields (Heinzle et al. 2007),2007
/showmodel?model=266850,266850,"A model for a nociceptor terminal and terminal tree (Barkai et al., 2020)",2020
/showmodel?model=267563,267563,"A model for early afterdepolarizations in the cardiomyocyte action potential (Kimrey et al., 2022)",2022
/showmodel?model=266524,266524,"A model for focal seizure onset, propagation, evolution, and progression (Liou et al 2020)",2020
/showmodel?model=153452,153452,A model for how correlation depends on the neuronal excitability type (Hong et al. 2012),2012
/showmodel?model=53869,53869,A model for interaural time difference sensitivity in the medial superior olive (Zhou et al 2005),2005
/showmodel?model=62272,62272,A model for pituitary GH(3) lactotroph (Wu and Chang 2005),2005
/showmodel?model=235377,235377,A model for recurrent spreading depolarizations (Conte et al. 2017),2017
/showmodel?model=267666,267666,A model of ASIC1a and synaptic cleft pH modulating wind-up in wide dynamic range neurons (Delrocq),None
/showmodel?model=226471,226471,A model of antennal lobe of bee (Chen JY et al. 2015),2015
/showmodel?model=120835,120835,A model of beta-adrenergic modulation of IKs in the guinea-pig ventricle (Severi et al. 2009),2009
/showmodel?model=222732,222732,A model of cerebellar LTD including RKIP inactivation of Raf and MEK (Hepburn et al 2017),2017
/showmodel?model=266732,266732,"A model of closed-loop motor unit including muscle spindle feedback (Kim, 2020)",2020
/showmodel?model=152112,152112,A model of local field potentials generated by medial superior olive neurons (Goldwyn et al 2014),2014
/showmodel?model=247196,247196,A model of neuronal bursting using three coupled first order diff. eqs. (Hindmarsh & Rose 1984),1984
/showmodel?model=237604,237604,"A model of neurovascular coupling and the BOLD response (Mathias et al 2017, Kenny et al 2018)",2017
/showmodel?model=225075,225075,A model of optimal learning with redundant synaptic connections (Hiratani & Fukai 2018),2018
/showmodel?model=235769,235769,"A model of slow motor unit (Kim, 2017)",2017
/showmodel?model=187473,187473,A model of the T-junction of a C-fiber sensory neuron (Sundt et al. 2015),2015
/showmodel?model=118092,118092,A model of the femur-tibia control system in stick insects (Stein et al. 2008),2008
/showmodel?model=127321,127321,A model of the temporal pattern generator of C. elegans egg-laying behavior (Zhang et. al 2010),2010
/showmodel?model=137259,137259,A model of unitary responses from A/C and PP synapses in CA3 pyramidal cells (Baker et al. 2010),2010
/showmodel?model=267066,267066,A model of ventral Hippocampal CA1 pyramidal neurons of Tg2576 AD mice (Spoleti et al. 2021),2021
/showmodel?model=267297,267297,"A model of working memory for encoding multiple items (Ursino et al, in press)",None
/showmodel?model=267309,267309,"A modified Morris-Lecar model with gM and gAHP (Yang et al., 2022)",2022
/showmodel?model=267363,267363,A modified Morris-Lecar with TRPC4 & GIRK (Tian et al. 2022),2022
/showmodel?model=140249,140249,A multi-compartment model for interneurons in the dLGN (Halnes et al. 2011),2011
/showmodel?model=206238,206238,A multilayer cortical model to study seizure propagation across microdomains (Basu et al. 2015),2015
/showmodel?model=144380,144380,A multiphysics neuron model for cellular volume dynamics (Lee et al. 2011),2011
/showmodel?model=247713,247713,"A multiscale approach to analyze circadian rhythms (Vasalou & Henson, 2010) (CellML)",2010
/showmodel?model=247719,247719,"A multiscale approach to analyze circadian rhythms (Vasalou & Henson, 2010) (SBML)",2010
/showmodel?model=34606,34606,A network model of tail withdrawal in Aplysia (White et al 1993),1993
/showmodel?model=124063,124063,A network model of the vertebrate retina (Publio et al. 2009),2009
/showmodel?model=207695,207695,A network of AOB mitral cells that produces infra-slow bursting (Zylbertal et al. 2017),2017
/showmodel?model=263637,263637,A neural mass model for critical assessment of brain connectivity (Ursino et al 2020),2020
/showmodel?model=227677,227677,A neural mass model of cross frequency coupling (Chehelcheraghi et al 2017),2017
/showmodel?model=93422,93422,"A neural model of Parkinson`s disease (Cutsuridis and Perantonis 2006, Cutsuridis 2006, 2007)",2006
/showmodel?model=266881,266881,"A neurite to measure ePSP and AP amplitude after passive spread (DeMaegd & Stein, 2021)",2021
/showmodel?model=138634,138634,A neurocomputational model of classical conditioning phenomena (Moustafa et al. 2009),2009
/showmodel?model=239146,239146,A neuronal circuit simulator for non Monte Carlo analysis of neuronal noise (Kilinc & Demir 2018),2018
/showmodel?model=120320,120320,A nicotinic acetylcholine receptor kinetic model (Edelstein et al. 1996),1996
/showmodel?model=247646,247646,A phantom bursting mechanism for episodic bursting (Bertram et al 2008),2008
/showmodel?model=83514,83514,A reinforcement learning example (Sutton and Barto 1998),1998
/showmodel?model=267395,267395,A sensorimotor-spinal cord model (Hoshino et al. 2022),2022
/showmodel?model=146026,146026,A set of reduced models of layer 5 pyramidal neurons (Bahl et al. 2012),2012
/showmodel?model=140246,140246,A simple integrative electrophysiological model of bursting GnRH neurons (Csercsik et al. 2011),2011
/showmodel?model=222932,222932,"A simple model of neuromodulatory state-dependent synaptic plasticity (Pedrosa and Clopath, 2016)",2016
/showmodel?model=126637,126637,A simplified cerebellar Purkinje neuron (the PPR model) (Brown et al. 2011),2011
/showmodel?model=114424,114424,A simplified model of NMDA oscillations in lamprey locomotor neurons (Huss et al. 2008),2008
/showmodel?model=83320,83320,A simulation method for the firing sequences of motor units (Jiang et al 2006),2006
/showmodel?model=45539,45539,A single column thalamocortical network model (Traub et al 2005),2005
/showmodel?model=267620,267620,A single compartment model of Drosophila motor neuron (Megwa et al 2023),2023
/showmodel?model=230137,230137,"A single kinetic model for all human voltage-gated sodium channels (Balbi et al, 2017)",2017
/showmodel?model=262187,262187,A single-cell spiking model for the origin of grid-cell patterns (D'Albis & Kempter 2017),2017
/showmodel?model=168866,168866,A spatial model of the intermediate superior colliculus (Moren et. al. 2013),2013
/showmodel?model=139296,139296,A spatially extended model for macroscopic spike-wave discharges (Taylor and Baier 2011),2011
/showmodel?model=225301,225301,A spiking NN for amplification of feature-selectivity with specific connectivity (Sadeh et al 2015),2015
/showmodel?model=116871,116871,A spiking model of cortical broadcast and competition (Shanahan 2008),2008
/showmodel?model=168143,168143,A spiking neural network model of model-free reinforcement learning (Nakano et al 2015),2015
/showmodel?model=234118,234118,A spiking neural network model of the Lateral Geniculate Nucleus (Sen-Bhattacharya et al 2017),2017
/showmodel?model=238912,238912,A state-space model to quantify common input to motor neurons (Feeney et al 2017),2017
/showmodel?model=266819,266819,A synapse model for developing somatosensory cortex (Manninen et al 2020),2020
/showmodel?model=237466,237466,A systems model of Parkinson’s disease using biochemical systems theory (Sasidharakurup et al. 2017),2017
/showmodel?model=83570,83570,A theory of ongoing activity in V1 (Goldberg et al 2004),2004
/showmodel?model=153660,153660,A threshold equation for action potential initiation (Platkiewicz & Brette 2010),2010
/showmodel?model=155705,155705,A two networks model of connectivity-dependent oscillatory activity (Avella OJ et al. 2014),2014
/showmodel?model=149739,149739,A two-layer biophysical olfactory bulb model of cholinergic neuromodulation (Li and Cleland 2013),2013
/showmodel?model=127351,127351,A two-stage model of dendritic integration in CA1 pyramidal neurons (Katz et al. 2009),2009
/showmodel?model=233509,233509,"A unified thalamic model of multiple distinct oscillations (Li, Henriquez and Fröhlich 2017)",2017
/showmodel?model=146813,146813,"ACh modulation in olfactory bulb and piriform cortex (de Almeida et al. 2013;Devore S, et al. 2014)",2013
/showmodel?model=261423,261423,ACnet23 primary auditory cortex model (Beeman et al 2019),2019
/showmodel?model=267355,267355,"AIS model of L5 cortical pyramidal neuron (Filipis et al., 2023)",2023
/showmodel?model=263130,263130,AMPA receptor trafficking and its role in heterosynaptic plasticity (Antunes et al 2018),2018
/showmodel?model=185332,185332,"AOB mitral cell: persistent activity without feedback (Zylbertal et al., 2015)",2015
/showmodel?model=135839,135839,"AP back-prop. explains threshold variability and rapid rise (McCormick et al. 2007, Yu et al. 2008)",2007
/showmodel?model=54903,54903,AP initiation and propagation in  type II cochlear ganglion cell (Hossain et al 2005),2005
/showmodel?model=241160,241160,"AP initiation, propagation, and cortical invasion in a Layer 5 pyramidal cell (Anderson et 2018)",2018
/showmodel?model=87473,87473,AP shape and parameter constraints in optimization of compartment models (Weaver and Wearne 2006),2006
/showmodel?model=267165,267165,Accelerating with FlyBrainLab discovery of the functional logic of Drosophila brain (Lazar et al 21),None
/showmodel?model=127992,127992,Accurate and fast simulation of channel noise in conductance-based model neurons (Linaro et al 2011),2011
/showmodel?model=267298,267298,"Acetylcholine Boosts Dendritic NMDA Spikes in a CA3 Pyramidal Neuron Model (Humphries et al., 2021)",2021
/showmodel?model=245018,245018,Acetylcholine-modulated plasticity in reward-driven navigation (Zannone et al 2018),2018
/showmodel?model=123897,123897,Action Potential initiation and backpropagation in Neocortical L5 Pyramidal Neuron (Hu et al. 2009),2009
/showmodel?model=3342,3342,Action potential initiation in the olfactory mitral cell (Shen et al 1999),1999
/showmodel?model=120246,120246,Action potential of adult rat ventricle (Wang et al. 2008),2008
/showmodel?model=243842,243842,Action potential of mouse urinary bladder smooth muscle (Mahapatra et al 2018),2018
/showmodel?model=79238,79238,Action potential of striated muscle fiber (Adrian et al 1970),1970
/showmodel?model=135838,135838,Action potential reconstitution from measured current waveforms (Alle et al. 2009),2009
/showmodel?model=263995,263995,Action potential-evoked Ca2+ signals in CA1 pyramidal cell presynaptic terminals (Hamid et al 2019),2019
/showmodel?model=136715,136715,Action potential-evoked Na+ influx are similar in axon and soma (Fleidervish et al. 2010),2010
/showmodel?model=249404,249404,Action potential-evoked Na+ influx similar in axon and soma (Fleidervish et al. 2010) (Python),2010
/showmodel?model=240961,240961,Actions of Rotenone on ionic currents and MEPPs in Mouse Hippocampal Neurons (Huang et al 2018) ,2018
/showmodel?model=185122,185122,Activator protein 1(AP-1) transcriptional regulatory model in brainstem neurons (Makadia et al 2015),2015
/showmodel?model=28316,28316,Active dendrites and spike propagation in a hippocampal interneuron (Saraga et al 2003),2003
/showmodel?model=244848,244848,Active dendrites shape signaling microdomains in hippocampal neurons (Basak & Narayanan 2018),2018
/showmodel?model=143635,143635,Active dendritic action potential propagation (Casale & McCormick 2011),2011
/showmodel?model=237326,237326,Active dendritic integration in robust and precise grid cell firing (Schmidt-Hieber et al 2017),2017
/showmodel?model=267145,267145,"Active intrinsic conductances in networks, transients, activity, plasticity (Akosy and Shouval 2021)",2021
/showmodel?model=182142,182142,Active zone model of Ca2+ secretion coupling (Keller et al. 2015),2015
/showmodel?model=112348,112348,Activity constraints on stable neuronal or network parameters (Olypher and Calabrese 2007),2007
/showmodel?model=114342,114342,Activity dependent changes in dendritic spine density and spine structure (Crook et al. 2007),2007
/showmodel?model=71317,71317,"Activity dependent changes in motoneurones (Dai Y et al 2002, Gardiner et al 2002)",2002
/showmodel?model=93321,93321,Activity dependent conductances in a neuron model  (Liu et al. 1998),1998
/showmodel?model=19176,19176,Activity dependent regulation of pacemaker channels by cAMP (Wang et al 2002),2002
/showmodel?model=182758,182758,Activity patterns in a subthalamopallidal network of the basal ganglia model (Terman et al 2002),2002
/showmodel?model=267617,267617,Activity-dependent broadening of axonal spikes by inactivating K channels (Zheng & Kamiya 2023),2023
/showmodel?model=169242,169242,Adaptation of Short-Term Plasticity parameters (Esposito et al. 2015),2015
/showmodel?model=247310,247310,Adaptive dual control of deep brain stimulation in Parkinsons disease simulations (Grado et al 2018),2018
/showmodel?model=153635,153635,Adaptive exponential integrate-and-fire model (Brette & Gerstner 2005),2005
/showmodel?model=167414,167414,Adaptive robotic control driven by a versatile spiking cerebellar network (Casellato et al. 2014),2014
/showmodel?model=239741,239741,Adjusted regularization of cortical covariance (Vinci et al 2018),2018
/showmodel?model=112834,112834,Afferent Integration in the NAcb MSP Cell (Wolf et al. 2005),2005
/showmodel?model=266848,266848,Age-dependent excitability of CA1 pyramidal neurons in APPPS1 Alzheimer's model (Vitale et al 2021),2021
/showmodel?model=180789,180789,Alcohol action in a detailed Purkinje neuron model and an efficient simplified model (Forrest 2015),2015
/showmodel?model=127021,127021,Alcohol excites Cerebellar Golgi Cells by inhibiting the Na+/K+ ATPase (Botta et al.2010),2010
/showmodel?model=184299,184299,Allen Institute: Gad2-IRES-Cre VISp layer 5 472447460,None
/showmodel?model=184316,184316,Allen Institute: Gad2-IRES-Cre VISp layer 5 473561729,None
/showmodel?model=184184,184184,Allen Institute: Htr3a-Cre VISp layer 2/3 472352327,None
/showmodel?model=184196,184196,Allen Institute: Htr3a-Cre VISp layer 2/3 472421285,None
/showmodel?model=184327,184327,Allen Institute: Nr5a1-Cre VISp layer 2/3 473862496,None
/showmodel?model=184148,184148,Allen Institute: Nr5a1-Cre VISp layer 4 329322394,None
/showmodel?model=184178,184178,Allen Institute: Nr5a1-Cre VISp layer 4 472306544,None
/showmodel?model=184297,184297,Allen Institute: Nr5a1-Cre VISp layer 4 472442377,None
/showmodel?model=184303,184303,Allen Institute: Nr5a1-Cre VISp layer 4 472451419,None
/showmodel?model=184352,184352,Allen Institute: Nr5a1-Cre VISp layer 4 472915634,None
/showmodel?model=184319,184319,Allen Institute: Nr5a1-Cre VISp layer 4 473834758,None
/showmodel?model=184331,184331,Allen Institute: Nr5a1-Cre VISp layer 4 473863035,None
/showmodel?model=184337,184337,Allen Institute: Nr5a1-Cre VISp layer 4 473871429,None
/showmodel?model=184348,184348,Allen Institute: Ntsr1-Cre VISp layer 4 472430904,None
/showmodel?model=184180,184180,Allen Institute: Pvalb-IRES-Cre VISp layer 2/3 472306616,None
/showmodel?model=184152,184152,Allen Institute: Pvalb-IRES-Cre VISp layer 5 471085845,None
/showmodel?model=184182,184182,Allen Institute: Pvalb-IRES-Cre VISp layer 5 472349114,None
/showmodel?model=184310,184310,Allen Institute: Pvalb-IRES-Cre VISp layer 5 472912177,None
/showmodel?model=184350,184350,Allen Institute: Pvalb-IRES-Cre VISp layer 5 473465774,None
/showmodel?model=184325,184325,Allen Institute: Pvalb-IRES-Cre VISp layer 5 473862421,None
/showmodel?model=184145,184145,Allen Institute: Pvalb-IRES-Cre VISp layer 6a 471081668,None
/showmodel?model=184168,184168,Allen Institute: Pvalb-IRES-Cre VISp layer 6a 472301074,None
/showmodel?model=184323,184323,Allen Institute: Pvalb-IRES-Cre VISp layer 6a 473860269,None
/showmodel?model=184346,184346,Allen Institute: Rbp4-Cre VISp layer 5 472424854,None
/showmodel?model=184339,184339,Allen Institute: Rbp4-Cre VISp layer 6a 473871592,None
/showmodel?model=184161,184161,Allen Institute: Rorb-IRES2-Cre-D VISp layer 2/3 472299294,None
/showmodel?model=184231,184231,Allen Institute: Rorb-IRES2-Cre-D VISp layer 2/3 472434498,None
/showmodel?model=184333,184333,Allen Institute: Rorb-IRES2-Cre-D VISp layer 4 473863510,None
/showmodel?model=184159,184159,Allen Institute: Rorb-IRES2-Cre-D VISp layer 5 471087975,None
/showmodel?model=184314,184314,Allen Institute: Rorb-IRES2-Cre-D VISp layer 5 473561660,None
/showmodel?model=184166,184166,Allen Institute: Scnn1a-Tg2-Cre VISp layer 4 472300877,None
/showmodel?model=184202,184202,Allen Institute: Scnn1a-Tg2-Cre VISp layer 4 472427533,None
/showmodel?model=184308,184308,Allen Institute: Scnn1a-Tg2-Cre VISp layer 4 472912107,None
/showmodel?model=184312,184312,Allen Institute: Scnn1a-Tg2-Cre VISp layer 4 473465456,None
/showmodel?model=184176,184176,Allen Institute: Scnn1a-Tg2-Cre VISp layer 5 472306460,None
/showmodel?model=184142,184142,Allen Institute: Scnn1a-Tg3-Cre VISp layer 4 329321704,None
/showmodel?model=184186,184186,Allen Institute: Scnn1a-Tg3-Cre VISp layer 4 472363762,None
/showmodel?model=184329,184329,Allen Institute: Scnn1a-Tg3-Cre VISp layer 4 473862845,None
/showmodel?model=184344,184344,Allen Institute: Scnn1a-Tg3-Cre VISp layer 4 473872986,None
/showmodel?model=184305,184305,Allen Institute: Scnn1a-Tg3-Cre VISp layer 5 472455509,None
/showmodel?model=184335,184335,Allen Institute: Scnn1a-Tg3-Cre VISp layer 5 473863578,None
/showmodel?model=184341,184341,Allen Institute: Scnn1a-Tg3-Cre VISp layer 5 473871773,None
/showmodel?model=184157,184157,Allen Institute: Sst-IRES-Cre VISp layer 2/3 471086533,None
/showmodel?model=184173,184173,Allen Institute: Sst-IRES-Cre VISp layer 2/3 472304676,None
/showmodel?model=184171,184171,Allen Institute: Sst-IRES-Cre VISp layer 4 472304539,None
/showmodel?model=184163,184163,Allen Institute: Sst-IRES-Cre VISp layer 5 472299363,None
/showmodel?model=184301,184301,Allen Institute: Sst-IRES-Cre VISp layer 5 472450023,None
/showmodel?model=184321,184321,Allen Institute: Sst-IRES-Cre VISp layer 5 473835796,None
/showmodel?model=184274,184274,Allen Institute: Sst-IRES-Cre VISp layer 6a 472440759,None
/showmodel?model=256370,256370,Alleviating catastrophic forgetting: context gating and synaptic stabilization (Masse et al 2018),2018
/showmodel?model=58195,58195,Allosteric gating of K channels (Horrigan et al 1999),1999
/showmodel?model=263703,263703,Alpha rhythm in vitro visual cortex (Traub et al 2020),2020
/showmodel?model=147514,147514,Altered complexity in layer 2/3 pyramidal neurons (Luuk van der Velden et al. 2012),2012
/showmodel?model=124329,124329,Alternative time representation in dopamine models (Rivest et al. 2009),2009
/showmodel?model=266925,266925,Ambient glutamate shapes AMPA receptor responses to simulated transients (Balmer et al. 2021),2021
/showmodel?model=83520,83520,Ambiguous Encoding and Distorted Perception (Carlson and Kawasaki 2006),2006
/showmodel?model=87284,87284,Amyloid beta (IA block) effects on a model CA1 pyramidal cell (Morse et al. 2010),2010
/showmodel?model=147757,147757,Amyloid-beta effects on release probability and integration at CA3-CA1 synapses (Romani et al. 2013),2013
/showmodel?model=266895,266895,An agent-based computational model for cortical layer formation (Bauer et al 2021),2021
/showmodel?model=114365,114365,An allosteric kinetics of NMDARs in STDP (Urakubo et al. 2008),2008
/showmodel?model=150031,150031,An attractor network model of grid cells and theta-nested gamma oscillations (Pastoll et al 2013),2013
/showmodel?model=257610,257610,An electrophysiological model of GABAergic double bouquet cells (Chrysanthidis et al. 2019),2019
/showmodel?model=247648,247648,An integrative dynamic model of brain energy metabolism (Coultier et al 2009),2009
/showmodel?model=187599,187599,An ion-based model for swelling of neurons and astrocytes (Hubel & Ullah 2016),2016
/showmodel?model=243595,243595,An oscillatory neural autoencoder based on frequency modulation and multiplexing (Soman et al 2018),2018
/showmodel?model=79145,79145,An oscillatory neural model of multiple object tracking (Kazanovich and Borisyuk 2006),2006
/showmodel?model=239072,239072,Analytical modelling of temperature effects on an AMPA-type synapse (Kufel & Wojcik 2018),2018
/showmodel?model=154927,154927,Analyzing neural time series data theory and practice (Cohen 2014),2014
/showmodel?model=187213,187213,"Anoxic depolarization, recovery: effect of brain regions and extracellular space (Hubel et al. 2016)",2016
/showmodel?model=266657,266657,Apical Length Governs Computational Diversity of Layer 5 Pyramidal Neurons (Galloni et al 2020),2020
/showmodel?model=267695,267695,"Aplysia LTF model (Liu et al, 2020; Zhang et al, 2021; Liu et al 2022)",2020
/showmodel?model=18198,18198,Application of a common kinetic formalism for synaptic models (Destexhe et al 1994),1994
/showmodel?model=3785,3785,Arteriolar networks: Spread of potential (Crane et al 2001),2001
/showmodel?model=39948,39948,"Artificial neuron model (Izhikevich 2003, 2004, 2007)",2003
/showmodel?model=266929,266929,Astrocyte and Blood Vessel Calcium Imaging Tracking code (Haidey et al 2021),2021
/showmodel?model=126466,126466,Asynchronous irregular and up/down states in excitatory and inhibitory NNs (Destexhe 2009),2009
/showmodel?model=150678,150678,Auditory cortex layer IV network model (Beeman 2013),2013
/showmodel?model=36834,36834,Auditory nerve model for predicting performance limits (Heinz et al 2001),2001
/showmodel?model=37436,37436,Auditory nerve model with linear tuning (Heinz et al 2001),2001
/showmodel?model=37129,37129,"Auditory nerve response model (Tan, Carney 2003)",2003
/showmodel?model=37103,37103,Auditory nerve response model (Zhang et al 2001),2001
/showmodel?model=126389,126389,Auditory nerve spontaneous rate histograms (Jackson and Carney 2005),2005
/showmodel?model=195555,195555,Automated metadata suggester (McDougal et al 2018),2018
/showmodel?model=125378,125378,Availability of low-threshold Ca2+ current in retinal ganglion cells (Lee SC et al. 2003),2003
/showmodel?model=264519,264519,Ave. neuron model for slow-wave sleep in cortex Tatsuki 2016 Yoshida 2018 Rasmussen 2017 (all et al),None
/showmodel?model=187687,187687,Axon growth model (Diehl et al. 2016),2016
/showmodel?model=180370,180370,"Axon-somatic back-propagation in a detailed model of cat spinal motoneuron (Balbi et al, 2015)",2015
/showmodel?model=189155,189155,Axonal HH-model for temperature stimulation (Fribance et al 2016),2016
/showmodel?model=115356,115356,Axonal NaV1.6 Sodium Channels in AP Initiation of CA1 Pyramidal Neurons (Royeck et al. 2008),2008
/showmodel?model=116053,116053,Axonal Projection and Interneuron Types (Helmstaedter et al. 2008),2008
/showmodel?model=114654,114654,Axonal gap junctions produce fast oscillations in cerebellar Purkinje cells (Traub et al. 2008),2008
/showmodel?model=185864,185864,"Axonal spheroids and conduction defects in Alzheimer’s disease (Yuan, Zhang, Tong, et al 2022)",2022
/showmodel?model=267512,267512,Axonal subthreshold voltage signaling along hippocampal mossy fiber (Kamiya 2022),2022
/showmodel?model=147538,147538,"BCM-like synaptic plasticity with conductance-based models (Narayanan Johnston, 2010)",2010
/showmodel?model=206256,206256,BDNF morphological contributions to AP enhancement (Galati et al. 2016),2016
/showmodel?model=266841,266841,BK - CaV coupling (Montefusco et al. 2017),2017
/showmodel?model=266636,266636,BK Channels Promote Bursting in Pituitary Cells (Tabak et al 2011),2011
/showmodel?model=125689,125689,Balance of excitation and inhibition (Carvalho and Buonomano 2009),2009
/showmodel?model=261624,261624,Basal Ganglia and Levodopa Pharmacodynamics model for parameter estimation in PD (Ursino et al 2020),2020
/showmodel?model=234313,234313,Basal Ganglia motor-circuit for kinematic planning of arm movements (Salimi-Badr et al 2017),2017
